[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
[00:32:03] [WARN] ponder/ae2_controller.js#249: [PonderJS] modifyTileNBT(selection, (nbt) => {}) is deprecated, use modifyBlockEntityNBT(selection, (nbt) => {}) instead
